estimator,function,mean,stdev,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,algorithm,init,max_iter,n_clusters,n_init,tol,n_iter,adjusted_rand_score
KMeans,fit,0.006581152099988686,0.0034763986296572308,10000,10000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,3,1,1e-16,30.0,
KMeans,predict,0.00013687109999409585,8.30606887159507e-05,10000,1,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,3,1,1e-16,,1.0
KMeans,predict,0.0002667620998636266,0.00022795293415210104,10000,1000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,3,1,1e-16,,1.0
KMeans,fit,0.1123015886999383,0.003176098083384994,10000,10000,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,300,1,1e-16,30.0,
KMeans,predict,0.0001445210999918345,9.038613150951923e-05,10000,1,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,300,1,1e-16,,1.0
KMeans,predict,0.0009083971999189089,0.0001561146320571868,10000,1000,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,300,1,1e-16,,1.0
KMeans,fit,0.005746855500001402,0.000967077089626778,10000,10000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,e85079d9cfacc46cd6649e2b27d93332,full,random,30,3,1,1e-16,30.0,
KMeans,predict,0.00012960110002495638,8.556384412455764e-05,10000,1,2,ec2f2d2e5e2eb5881e2e08915f1f289b,e85079d9cfacc46cd6649e2b27d93332,full,random,30,3,1,1e-16,,1.0
KMeans,predict,0.00017284139994444558,0.00011244261483612464,10000,1000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,e85079d9cfacc46cd6649e2b27d93332,full,random,30,3,1,1e-16,,1.0
KMeans,fit,0.048891646900028715,0.0016195004423329312,10000,10000,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,full,random,30,300,1,1e-16,30.0,
KMeans,predict,0.00013904109991926816,9.139660771287902e-05,10000,1,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,full,random,30,300,1,1e-16,,1.0
KMeans,predict,0.0008226365000609803,0.00013757564003490279,10000,1000,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,full,random,30,300,1,1e-16,,1.0
KMeans,fit,0.0206149932000244,0.0007956923835727689,10000,10000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,k-means++,30,3,1,1e-16,30.0,
KMeans,predict,0.00015010119991529792,8.202136749978275e-05,10000,1,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,k-means++,30,3,1,1e-16,,1.0
KMeans,predict,0.0003765929999190121,0.0001795910124883923,10000,1000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,k-means++,30,3,1,1e-16,,1.0
