estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,n_iter,mean_time,stdev_time,throughput,latency,algorithm,init,max_iter,n_clusters,n_init,tol,adjusted_rand_score
KMeans_short,fit,10000,10000,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,30,0.047565647999817884,0.0,0.10091316321430915,4.7565647999817885e-06,full,random,30,300,1,1e-16,
KMeans_short,predict,10000,1000,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,30,0.0006141643000319164,5.106135035505887e-05,0.7815498230279028,6.141643000319164e-07,full,random,30,300,1,1e-16,0.00018644357668358227
KMeans_short,predict,10000,1,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,30,0.00011154620005981997,3.134469383329379e-05,0.004303149723994056,0.00011154620005981997,full,random,30,300,1,1e-16,1.0
KMeans_short,fit,10000,10000,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,26,0.10211448500012921,0.0,0.040738588653654144,1.021144850001292e-05,full,k-means++,30,300,1,1e-16,
KMeans_short,predict,10000,1000,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,26,0.0006096139999044681,3.410383320371642e-05,0.6823990263760197,6.09613999904468e-07,full,k-means++,30,300,1,1e-16,-7.40942819173507e-07
KMeans_short,predict,10000,1,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,26,0.0001150564999989001,3.195976207528054e-05,0.0036156149370437725,0.0001150564999989001,full,k-means++,30,300,1,1e-16,1.0
KMeans_short,fit,10000,10000,100,a4e5137c99ac1ad5f99c6f222460f561,ef0c5a9e8916bf847cef5cd21d1aa6dd,27,0.18262406900021233,0.0,1.1827575695936818,1.8262406900021234e-05,full,random,30,300,1,1e-16,
KMeans_short,predict,10000,1000,100,a4e5137c99ac1ad5f99c6f222460f561,ef0c5a9e8916bf847cef5cd21d1aa6dd,27,0.001154814199935572,0.0001136985218203437,18.704307585761484,1.1548141999355721e-06,full,random,30,300,1,1e-16,0.0021641382191816337
KMeans_short,predict,10000,1,100,a4e5137c99ac1ad5f99c6f222460f561,ef0c5a9e8916bf847cef5cd21d1aa6dd,27,0.0001553285999762011,2.9964448227495918e-05,0.13906003146432452,0.0001553285999762011,full,random,30,300,1,1e-16,1.0
KMeans_short,fit,10000,10000,100,f449ed38cce17d6d59193092d5379936,ef0c5a9e8916bf847cef5cd21d1aa6dd,19,0.34160942100015745,0.0,0.4449525998287089,3.416094210001575e-05,full,k-means++,30,300,1,1e-16,
KMeans_short,predict,10000,1000,100,f449ed38cce17d6d59193092d5379936,ef0c5a9e8916bf847cef5cd21d1aa6dd,19,0.00111755229991104,7.442973162142687e-05,13.601153164115862,1.11755229991104e-06,full,k-means++,30,300,1,1e-16,0.004143754945265576
KMeans_short,predict,10000,1,100,f449ed38cce17d6d59193092d5379936,ef0c5a9e8916bf847cef5cd21d1aa6dd,19,0.00016093900007945193,3.704405785574938e-05,0.09444572162431794,0.00016093900007945193,full,k-means++,30,300,1,1e-16,1.0
