estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_time,stdev_time,throughput,latency,algorithm,n_jobs,n_neighbors,accuracy_score
KNeighborsClassifier,fit,1000000,1000000,100,e70d8e7886766d41f30889506baa1e67,964dc780f08981ab8f879d1a097b8712,0.4900306750000709,0.0,1.632550860208668,4.900306750000709e-07,brute,-1,1,
KNeighborsClassifier,predict,1000000,1000,100,e70d8e7886766d41f30889506baa1e67,964dc780f08981ab8f879d1a097b8712,2.108669211100005,0.17344443056955794,0.0003793862004475673,0.0021086692111000047,brute,-1,1,0.707
KNeighborsClassifier,predict,1000000,1,100,e70d8e7886766d41f30889506baa1e67,964dc780f08981ab8f879d1a097b8712,0.08352010430007795,0.0010213863314283613,9.578532099597167e-06,0.08352010430007795,brute,-1,1,1.0
KNeighborsClassifier,fit,1000000,1000000,100,22d5eac4a4146149b35eae6914921514,964dc780f08981ab8f879d1a097b8712,0.509259979000035,0.0,1.5709068707320217,5.09259979000035e-07,brute,-1,5,
KNeighborsClassifier,predict,1000000,1000,100,22d5eac4a4146149b35eae6914921514,964dc780f08981ab8f879d1a097b8712,1.9234339049000027,0.10811468308901932,0.0004159227920241903,0.0019234339049000026,brute,-1,5,0.812
KNeighborsClassifier,predict,1000000,1,100,22d5eac4a4146149b35eae6914921514,964dc780f08981ab8f879d1a097b8712,0.08262788820002243,0.0005087829954251963,9.681961108135678e-06,0.08262788820002243,brute,-1,5,1.0
KNeighborsClassifier,fit,1000000,1000000,100,16f94fc93942ff7ece860c9b0f64645f,964dc780f08981ab8f879d1a097b8712,0.4864771739999014,0.0,1.6444759235510649,4.864771739999014e-07,brute,1,100,
KNeighborsClassifier,predict,1000000,1000,100,16f94fc93942ff7ece860c9b0f64645f,964dc780f08981ab8f879d1a097b8712,1.8968358317000367,0.01396170244770856,0.0004217550020040485,0.0018968358317000367,brute,1,100,0.916
KNeighborsClassifier,predict,1000000,1,100,16f94fc93942ff7ece860c9b0f64645f,964dc780f08981ab8f879d1a097b8712,0.08456013289987822,0.0035129074177296105,9.460723068484581e-06,0.08456013289987822,brute,1,100,1.0
KNeighborsClassifier,fit,1000000,1000000,100,b79d63bb7670c492de5c3befac58fe29,964dc780f08981ab8f879d1a097b8712,0.4909346630001892,0.0,1.6295447445308862,4.909346630001892e-07,brute,1,1,
KNeighborsClassifier,predict,1000000,1000,100,b79d63bb7670c492de5c3befac58fe29,964dc780f08981ab8f879d1a097b8712,1.832240073899993,0.012445683077111849,0.00043662400544333116,0.001832240073899993,brute,1,1,0.707
