estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,mean_time,stdev_time,throughput,latency,learning_rate,max_bin,min_data_in_leaf,n_estimators,num_leaves,accuracy_score
LGBMClassifier,fit,100000,100000,100,33b63bc03dbc43389b8116a111d795dc,cb16edecad38f292756cdc5794a48caa,2.1708392040000035,0.0,0.018426053816558922,4.341678408000007e-05,0.5,128,10,100,30,
LGBMClassifier,predict,100000,1000,100,33b63bc03dbc43389b8116a111d795dc,cb16edecad38f292756cdc5794a48caa,0.002164619999803108,0.0,0.3695798801049456,2.1646199998031077e-06,0.5,128,10,100,30,0.766
LGBMClassifier,fit,100000,100000,100,0981027d9052cc27f3b29d51af126007,cb16edecad38f292756cdc5794a48caa,3.8597446680000758,0.0,0.010363379819299284,7.719489336000151e-05,0.5,32,100,100,3,
LGBMClassifier,predict,100000,1000,100,0981027d9052cc27f3b29d51af126007,cb16edecad38f292756cdc5794a48caa,0.007324507000248559,0.0,0.1092223681365656,7.324507000248559e-06,0.5,32,100,100,3,0.736
LGBMClassifier,fit,100000,100000,100,a325138c25da64b32d3f87a065592000,cb16edecad38f292756cdc5794a48caa,42.25055610299978,0.0,0.0009467331010386395,0.0008450111220599956,0.01,255,1000,1000,5,
LGBMClassifier,predict,100000,1000,100,a325138c25da64b32d3f87a065592000,cb16edecad38f292756cdc5794a48caa,0.12272022600018317,0.0,0.006518892818848018,0.00012272022600018319,0.01,255,1000,1000,5,0.727
LGBMClassifier,fit,100000,100000,100,3c3528482053d0be9db02136fe8a162b,cb16edecad38f292756cdc5794a48caa,4.038038753999899,0.0,0.009905798937758534,8.076077507999798e-05,0.5,255,10,100,3,
LGBMClassifier,predict,100000,1000,100,3c3528482053d0be9db02136fe8a162b,cb16edecad38f292756cdc5794a48caa,0.005934524000167585,0.0,0.13480440890919115,5.934524000167585e-06,0.5,255,10,100,3,0.733
LGBMClassifier,fit,100000,100000,100,4c62c55abf12574669bfcb1d10822730,cb16edecad38f292756cdc5794a48caa,40.44046506199993,0.0,0.0009891083086872358,0.0008088093012399986,0.01,255,100,300,50,
LGBMClassifier,predict,100000,1000,100,4c62c55abf12574669bfcb1d10822730,cb16edecad38f292756cdc5794a48caa,0.0842410390000623,0.0,0.009496559034598426,8.42410390000623e-05,0.01,255,100,300,50,0.8
LGBMClassifier,fit,100000,100000,100,258e5301b92f444bdbdee33f967479bc,cb16edecad38f292756cdc5794a48caa,2.266842644999997,0.0,0.01764568885636085,4.533685289999994e-05,0.1,128,10,30,5,
LGBMClassifier,predict,100000,1000,100,258e5301b92f444bdbdee33f967479bc,cb16edecad38f292756cdc5794a48caa,0.0030944629997975426,0.0,0.2585262774356457,3.0944629997975424e-06,0.1,128,10,30,5,0.682
LGBMClassifier,fit,100000,100000,100,4ad8b4a07ef856293fbed52a1ddbed38,cb16edecad38f292756cdc5794a48caa,2.757034269000087,0.0,0.01450834342168227,5.514068538000174e-05,1.0,32,1000,300,5,
LGBMClassifier,predict,100000,1000,100,4ad8b4a07ef856293fbed52a1ddbed38,cb16edecad38f292756cdc5794a48caa,0.004167215000052238,0.0,0.1919747361223195,4.167215000052238e-06,1.0,32,1000,300,5,0.752
LGBMClassifier,fit,100000,100000,100,e184703988d672e460084cd94187ca0f,cb16edecad38f292756cdc5794a48caa,8.506711075999647,0.0,0.004702169809534702,0.00017013422151999292,0.01,128,10,100,20,
