estimator,function,mean,stdev,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,algorithm,init,max_iter,n_clusters,n_init,tol,n_iter,adjusted_rand_score
KMeans,fit,0.01081700780009669,0.00208125261044902,10000,10000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,3,1,1e-16,19.0,
KMeans,predict,0.00024357329998565548,9.387773031418307e-05,10000,1,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,3,1,1e-16,,1.0
KMeans,predict,0.0002877440000247589,0.00010643608085095249,10000,1000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,3,1,1e-16,,1.0
KMeans,fit,0.2806242413999371,0.0065951774486045405,10000,10000,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,300,1,1e-16,30.0,
KMeans,predict,0.00024830339993968663,0.0001034617504211507,10000,1,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,300,1,1e-16,,1.0
KMeans,predict,0.0007033095999759098,0.00017202486542087359,10000,1000,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,full,k-means++,30,300,1,1e-16,,1.0
KMeans,fit,0.007189698199908889,0.000714387478368588,10000,10000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,e85079d9cfacc46cd6649e2b27d93332,full,random,30,3,1,1e-16,17.0,
KMeans,predict,0.00023820330006856237,9.182461753869209e-05,10000,1,2,ec2f2d2e5e2eb5881e2e08915f1f289b,e85079d9cfacc46cd6649e2b27d93332,full,random,30,3,1,1e-16,,1.0
KMeans,predict,0.0002880238998841378,0.00012524010658677433,10000,1000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,e85079d9cfacc46cd6649e2b27d93332,full,random,30,3,1,1e-16,,1.0
KMeans,fit,0.10688861930002531,0.0022908667696510863,10000,10000,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,full,random,30,300,1,1e-16,30.0,
KMeans,predict,0.00024982339996313383,9.863825433341533e-05,10000,1,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,full,random,30,300,1,1e-16,,1.0
KMeans,predict,0.0006992895000166755,0.0001897973275145496,10000,1000,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,full,random,30,300,1,1e-16,,1.0
KMeans,fit,0.11633740879997276,0.01491650211013343,10000,10000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,k-means++,30,3,1,1e-16,30.0,
KMeans,predict,0.00027419389998613043,0.00012134580993331533,10000,1,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,k-means++,30,3,1,1e-16,,1.0
KMeans,predict,0.0006073585000649472,0.00017722494530878402,10000,1000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,k-means++,30,3,1,1e-16,,1.0
KMeans,fit,0.7098541057999682,0.019701790210441033,10000,10000,100,f449ed38cce17d6d59193092d5379936,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,k-means++,30,300,1,1e-16,19.0,
KMeans,predict,0.0003672150999591395,0.0001224239988126574,10000,1,100,f449ed38cce17d6d59193092d5379936,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,k-means++,30,300,1,1e-16,,1.0
KMeans,predict,0.003255254700070509,0.0020726186453202023,10000,1000,100,f449ed38cce17d6d59193092d5379936,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,k-means++,30,300,1,1e-16,,1.0
KMeans,fit,0.045277200700047614,0.0008698803210574268,10000,10000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,random,30,3,1,1e-16,30.0,
KMeans,predict,0.0002751237999746081,0.00010781943291905815,10000,1,100,ec2f2d2e5e2eb5881e2e08915f1f289b,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,random,30,3,1,1e-16,,1.0
KMeans,predict,0.0006082982999942033,0.00019468238414678928,10000,1000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,random,30,3,1,1e-16,,1.0
KMeans,fit,0.23612881679991915,0.02421547146614391,10000,10000,100,a4e5137c99ac1ad5f99c6f222460f561,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,random,30,300,1,1e-16,29.0,
KMeans,predict,0.00037579519994324073,0.00014129324749511345,10000,1,100,a4e5137c99ac1ad5f99c6f222460f561,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,random,30,300,1,1e-16,,1.0
KMeans,predict,0.008399495100047717,0.0009841333156539096,10000,1000,100,a4e5137c99ac1ad5f99c6f222460f561,ef0c5a9e8916bf847cef5cd21d1aa6dd,full,random,30,300,1,1e-16,,1.0
KMeans,fit,0.5760311805999663,0.0054923271690316185,1000000,1000000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,d82c6aa0e24b54b06dcaa8d2d01a162f,full,k-means++,30,3,1,1e-16,30.0,
KMeans,predict,0.00027180360002603264,0.00011258821006979499,1000000,1,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,d82c6aa0e24b54b06dcaa8d2d01a162f,full,k-means++,30,3,1,1e-16,,1.0
KMeans,predict,0.00031084429997463303,0.00015265963016875914,1000000,1000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,d82c6aa0e24b54b06dcaa8d2d01a162f,full,k-means++,30,3,1,1e-16,,1.0
KMeans,fit,30.045270430000073,0.0,1000000,1000000,2,f449ed38cce17d6d59193092d5379936,d82c6aa0e24b54b06dcaa8d2d01a162f,full,k-means++,30,300,1,1e-16,30.0,
KMeans,predict,0.0002522734000649507,0.00010630211434564317,1000000,1,2,f449ed38cce17d6d59193092d5379936,d82c6aa0e24b54b06dcaa8d2d01a162f,full,k-means++,30,300,1,1e-16,,1.0
KMeans,predict,0.0007111397999779001,0.00019105982239922838,1000000,1000,2,f449ed38cce17d6d59193092d5379936,d82c6aa0e24b54b06dcaa8d2d01a162f,full,k-means++,30,300,1,1e-16,,1.0
KMeans,fit,0.4924861043999499,0.008108153912245323,1000000,1000000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,d82c6aa0e24b54b06dcaa8d2d01a162f,full,random,30,3,1,1e-16,30.0,
KMeans,predict,0.00023628330000065035,9.662394752869866e-05,1000000,1,2,ec2f2d2e5e2eb5881e2e08915f1f289b,d82c6aa0e24b54b06dcaa8d2d01a162f,full,random,30,3,1,1e-16,,1.0
KMeans,predict,0.0002939739999419544,0.00012637998959957097,1000000,1000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,d82c6aa0e24b54b06dcaa8d2d01a162f,full,random,30,3,1,1e-16,,1.0
KMeans,fit,10.152158725333265,0.01024387657175448,1000000,1000000,2,a4e5137c99ac1ad5f99c6f222460f561,d82c6aa0e24b54b06dcaa8d2d01a162f,full,random,30,300,1,1e-16,30.0,
KMeans,predict,0.000247673399917403,0.0001031002104984305,1000000,1,2,a4e5137c99ac1ad5f99c6f222460f561,d82c6aa0e24b54b06dcaa8d2d01a162f,full,random,30,300,1,1e-16,,1.0
KMeans,predict,0.0007107196999641019,0.00017625615328297544,1000000,1000,2,a4e5137c99ac1ad5f99c6f222460f561,d82c6aa0e24b54b06dcaa8d2d01a162f,full,random,30,300,1,1e-16,,1.0
KMeans,fit,6.409367844799817,0.11358704803155224,1000000,1000000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,4873c66e53c7dee3b9642c5bafb5db67,full,k-means++,30,3,1,1e-16,30.0,
KMeans,predict,0.000281073800078957,0.00011596073780290091,1000000,1,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,4873c66e53c7dee3b9642c5bafb5db67,full,k-means++,30,3,1,1e-16,,1.0
KMeans,predict,0.0006337587000416533,0.0002028797479266171,1000000,1000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,4873c66e53c7dee3b9642c5bafb5db67,full,k-means++,30,3,1,1e-16,,1.0
KMeans,fit,101.98866976399995,0.0,1000000,1000000,100,f449ed38cce17d6d59193092d5379936,4873c66e53c7dee3b9642c5bafb5db67,full,k-means++,30,300,1,1e-16,30.0,
KMeans,predict,0.00037374570001702523,0.0001524978520889721,1000000,1,100,f449ed38cce17d6d59193092d5379936,4873c66e53c7dee3b9642c5bafb5db67,full,k-means++,30,300,1,1e-16,,1.0
KMeans,predict,0.005284430900019288,0.0031845511227123575,1000000,1000,100,f449ed38cce17d6d59193092d5379936,4873c66e53c7dee3b9642c5bafb5db67,full,k-means++,30,300,1,1e-16,,1.0
KMeans,fit,5.759431567833341,0.01845833905944874,1000000,1000000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,4873c66e53c7dee3b9642c5bafb5db67,full,random,30,3,1,1e-16,30.0,
KMeans,predict,0.00023895179988357994,0.00010000354231970066,1000000,1,100,ec2f2d2e5e2eb5881e2e08915f1f289b,4873c66e53c7dee3b9642c5bafb5db67,full,random,30,3,1,1e-16,,1.0
KMeans,predict,0.0006010243000673654,0.00019785346923549874,1000000,1000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,4873c66e53c7dee3b9642c5bafb5db67,full,random,30,3,1,1e-16,,1.0
KMeans,fit,28.142636996999954,0.01463861199999883,1000000,1000000,100,a4e5137c99ac1ad5f99c6f222460f561,4873c66e53c7dee3b9642c5bafb5db67,full,random,30,300,1,1e-16,30.0,
KMeans,predict,0.0003262244999405084,0.00011275470427616406,1000000,1,100,a4e5137c99ac1ad5f99c6f222460f561,4873c66e53c7dee3b9642c5bafb5db67,full,random,30,300,1,1e-16,,1.0
KMeans,predict,0.002443933300128265,0.0010749752871237375,1000000,1000,100,a4e5137c99ac1ad5f99c6f222460f561,4873c66e53c7dee3b9642c5bafb5db67,full,random,30,300,1,1e-16,,1.0
