estimator,function,n_samples_train,n_samples,n_features,hyperparams_digest,dataset_digest,n_iter,mean_time,stdev_time,throughput,latency,algorithm,init,max_iter,n_clusters,n_init,tol,adjusted_rand_score
KMeans_short,fit,10000,10000,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,30,0.2899648449997585,0.0,0.016553730849696618,2.899648449997585e-05,full,k-means++,30,300,1,1e-16,
KMeans_short,predict,10000,1000,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,30,0.0018381923999641002,8.671029569492779e-05,0.26112609322580943,1.8381923999641002e-06,full,k-means++,30,300,1,1e-16,-0.00042325997564281436
KMeans_short,predict,10000,1,2,f449ed38cce17d6d59193092d5379936,e85079d9cfacc46cd6649e2b27d93332,30,0.0013744466000389366,7.117991477481661e-05,0.0003492314652212768,0.0013744466000389366,full,k-means++,30,300,1,1e-16,1.0
KMeans_short,fit,10000,10000,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,30,0.11945135099995241,0.0,0.04018372299532981,1.194513509999524e-05,full,random,30,300,1,1e-16,
KMeans_short,predict,10000,1000,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,30,0.0018884151000293059,0.00010354713664778658,0.2541814032267328,1.8884151000293058e-06,full,random,30,300,1,1e-16,-0.0009334036177035067
KMeans_short,predict,10000,1,2,a4e5137c99ac1ad5f99c6f222460f561,e85079d9cfacc46cd6649e2b27d93332,30,0.0013562454000293656,5.041481009738557e-05,0.00035391825106990737,0.0013562454000293656,full,random,30,300,1,1e-16,1.0
KMeans_short,fit,10000,10000,100,f449ed38cce17d6d59193092d5379936,ef0c5a9e8916bf847cef5cd21d1aa6dd,21,0.6463944910001374,0.0,0.2599032051465369,6.463944910001373e-05,full,k-means++,30,300,1,1e-16,
KMeans_short,predict,10000,1000,100,f449ed38cce17d6d59193092d5379936,ef0c5a9e8916bf847cef5cd21d1aa6dd,21,0.0025123599999915315,0.00016715568441927862,6.686939769800756,2.5123599999915314e-06,full,k-means++,30,300,1,1e-16,0.005275892934394586
KMeans_short,predict,10000,1,100,f449ed38cce17d6d59193092d5379936,ef0c5a9e8916bf847cef5cd21d1aa6dd,21,0.0013966877000257227,0.0001148137906935294,0.012028458473351341,0.0013966877000257227,full,k-means++,30,300,1,1e-16,1.0
KMeans_short,fit,10000,10000,100,a4e5137c99ac1ad5f99c6f222460f561,ef0c5a9e8916bf847cef5cd21d1aa6dd,26,0.2634050669998942,0.0,0.7896583098004092,2.634050669998942e-05,full,random,30,300,1,1e-16,
KMeans_short,predict,10000,1000,100,a4e5137c99ac1ad5f99c6f222460f561,ef0c5a9e8916bf847cef5cd21d1aa6dd,26,0.0028102064999984576,0.00040981861204408935,7.4015913065503955,2.8102064999984576e-06,full,random,30,300,1,1e-16,0.0018759097614057365
KMeans_short,predict,10000,1,100,a4e5137c99ac1ad5f99c6f222460f561,ef0c5a9e8916bf847cef5cd21d1aa6dd,26,0.0014163889000428753,0.00022223461925407155,0.014685232282864096,0.0014163889000428753,full,random,30,300,1,1e-16,1.0
