estimator,lib,function,mean,stdev,n_samples,n_features,hyperparams_digest,dataset_digest,algorithm,init,max_iter,n_clusters,n_init,tol,n_iter,adjusted_rand_score
KMeans,daal4py,fit,0.009208281300152521,0.004235026289656525,10000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,d20d008faefbbe0f931b8b798b404983,full,k-means++,30,3,1,1e-16,30.0,
KMeans,daal4py,predict,0.00015359969993369304,5.809837045470457e-05,1000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ebe3c5ddf180ac6a272cdd05c473421f,full,k-means++,30,3,1,1e-16,,0.000611275402684578
KMeans,daal4py,predict,0.00013059819998488819,7.451884404157857e-05,1,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ad6352385cc5e69d5c24fad28c7fd226,full,k-means++,30,3,1,1e-16,,0.000611275402684578
KMeans,daal4py,fit,0.014154533899909439,0.0023945270638532825,10000,2,68aceadd2a8235e558feb66c2b210b26,d20d008faefbbe0f931b8b798b404983,full,k-means++,30,10,1,1e-16,30.0,
KMeans,daal4py,predict,0.0001511595000010857,5.055041022043805e-05,1000,2,68aceadd2a8235e558feb66c2b210b26,ebe3c5ddf180ac6a272cdd05c473421f,full,k-means++,30,10,1,1e-16,,0.001842498192367364
KMeans,daal4py,predict,0.0001491293999606569,6.293814636285298e-05,1,2,68aceadd2a8235e558feb66c2b210b26,ad6352385cc5e69d5c24fad28c7fd226,full,k-means++,30,10,1,1e-16,,0.001842498192367364
KMeans,daal4py,fit,0.10898765540005115,0.0010311924565968114,10000,2,f449ed38cce17d6d59193092d5379936,d20d008faefbbe0f931b8b798b404983,full,k-means++,30,300,1,1e-16,27.0,
KMeans,daal4py,predict,0.0006210293000094679,4.809984897359844e-05,1000,2,f449ed38cce17d6d59193092d5379936,ebe3c5ddf180ac6a272cdd05c473421f,full,k-means++,30,300,1,1e-16,,0.0010128540244058683
KMeans,daal4py,predict,0.00011317720004626608,2.567704650572509e-05,1,2,f449ed38cce17d6d59193092d5379936,ad6352385cc5e69d5c24fad28c7fd226,full,k-means++,30,300,1,1e-16,,0.0010128540244058683
KMeans,daal4py,fit,0.005086711499916419,0.0003010819866055253,10000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,d20d008faefbbe0f931b8b798b404983,full,random,30,3,1,1e-16,30.0,
KMeans,daal4py,predict,0.00012706789993899292,3.6219834101689e-05,1000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,ebe3c5ddf180ac6a272cdd05c473421f,full,random,30,3,1,1e-16,,0.0006465565398443473
KMeans,daal4py,predict,0.00010478660001354002,2.5011424033757453e-05,1,2,ec2f2d2e5e2eb5881e2e08915f1f289b,ad6352385cc5e69d5c24fad28c7fd226,full,random,30,3,1,1e-16,,0.0006465565398443473
KMeans,daal4py,fit,0.010466001800068625,0.0003318065995096962,10000,2,5c687c81e2a95d658bc3d372ce7a1261,d20d008faefbbe0f931b8b798b404983,full,random,30,10,1,1e-16,30.0,
KMeans,daal4py,predict,0.00014036890011084324,3.681766877107087e-05,1000,2,5c687c81e2a95d658bc3d372ce7a1261,ebe3c5ddf180ac6a272cdd05c473421f,full,random,30,10,1,1e-16,,0.0016431729694653188
KMeans,daal4py,predict,0.000106826799992632,3.647709415842829e-05,1,2,5c687c81e2a95d658bc3d372ce7a1261,ad6352385cc5e69d5c24fad28c7fd226,full,random,30,10,1,1e-16,,0.0016431729694653188
KMeans,daal4py,fit,0.04748595270002624,0.0008813071263927742,10000,2,a4e5137c99ac1ad5f99c6f222460f561,d20d008faefbbe0f931b8b798b404983,full,random,30,300,1,1e-16,30.0,
KMeans,daal4py,predict,0.0007093949000591237,0.00012522617798017602,1000,2,a4e5137c99ac1ad5f99c6f222460f561,ebe3c5ddf180ac6a272cdd05c473421f,full,random,30,300,1,1e-16,,0.0013122242170251147
KMeans,daal4py,predict,0.00010511660002521239,2.1409689611805355e-05,1,2,a4e5137c99ac1ad5f99c6f222460f561,ad6352385cc5e69d5c24fad28c7fd226,full,random,30,300,1,1e-16,,0.0013122242170251147
KMeans,daal4py,fit,0.019864096000083008,0.00092752451965062,10000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,7c1b7a5104d3fe0053bf0bbabfb80255,full,k-means++,30,3,1,1e-16,30.0,
KMeans,daal4py,predict,0.0002568062999671383,6.50420870162321e-05,1000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,d78c808283c44fd8c479cfbd032dccee,full,k-means++,30,3,1,1e-16,,0.0013074948640358804
