estimator,lib,function,mean,stdev,n_samples,n_features,hyperparams_digest,dataset_digest,algorithm,n_jobs,n_neighbors,accuracy_score,roc_auc_score
KNeighborsClassifier,daal4py,fit,0.5017320829000255,0.006181798385887987,1000000,100,e70d8e7886766d41f30889506baa1e67,f792a5be572047653a970ae14d72c43c,brute,-1,1,,
KNeighborsClassifier,daal4py,predict,2.053074770699959,0.03928261377821585,1000,100,e70d8e7886766d41f30889506baa1e67,d78c808283c44fd8c479cfbd032dccee,brute,-1,1,0.78,0.7802219365586618
KNeighborsClassifier,daal4py,predict,0.08607409720000306,0.0004439531965894951,1,100,e70d8e7886766d41f30889506baa1e67,f2bb6b488fc39b14f2f89a65339c1be5,brute,-1,1,0.78,0.7802219365586618
KNeighborsClassifier,daal4py,fit,0.5026753520000284,0.005161787972133809,1000000,100,22d5eac4a4146149b35eae6914921514,f792a5be572047653a970ae14d72c43c,brute,-1,5,,
KNeighborsClassifier,daal4py,predict,2.0729541918000223,0.03578977025602156,1000,100,22d5eac4a4146149b35eae6914921514,d78c808283c44fd8c479cfbd032dccee,brute,-1,5,0.856,0.8569226025285228
KNeighborsClassifier,daal4py,predict,0.08708032979998279,0.0010496840697713195,1,100,22d5eac4a4146149b35eae6914921514,f2bb6b488fc39b14f2f89a65339c1be5,brute,-1,5,0.856,0.8569226025285228
KNeighborsClassifier,daal4py,fit,0.4897418076000122,0.005049672055304692,1000000,100,2d5f2b2c02d77766434d9e5033b4a76c,f792a5be572047653a970ae14d72c43c,brute,-1,100,,
KNeighborsClassifier,daal4py,predict,2.1321859279000135,0.034603567011923075,1000,100,2d5f2b2c02d77766434d9e5033b4a76c,d78c808283c44fd8c479cfbd032dccee,brute,-1,100,0.948,0.9488929202157694
KNeighborsClassifier,daal4py,predict,0.08823821790001603,0.0014619395568097702,1,100,2d5f2b2c02d77766434d9e5033b4a76c,f2bb6b488fc39b14f2f89a65339c1be5,brute,-1,100,0.948,0.9488929202157694
KNeighborsClassifier,daal4py,fit,0.5032658821000495,0.005651488171200279,1000000,100,b79d63bb7670c492de5c3befac58fe29,f792a5be572047653a970ae14d72c43c,brute,1,1,,
