estimator,lib,function,mean,stdev,n_samples,n_features,hyperparams_digest,dataset_digest,algorithm,n_jobs,n_neighbors,accuracy_score,roc_auc_score
KNeighborsClassifier_kd_tree,daal4py,fit,0.7741458554999554,0.008346410563748847,1000000,10,fe8267e25dadb302ed498e50fabf7ef4,d373ebaaee0ed124a9f9104401902af8,kd_tree,-1,1,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.04012613090001196,0.002201547993613674,1000,10,fe8267e25dadb302ed498e50fabf7ef4,5b265b90d4ef6401feb596ab26e057c7,kd_tree,-1,1,0.969,0.9689275710284115
KNeighborsClassifier_kd_tree,daal4py,predict,0.00019889259999672504,4.6900637463360535e-05,1,10,fe8267e25dadb302ed498e50fabf7ef4,cc39ba145f52fec2c50c2044787b4c72,kd_tree,-1,1,0.969,0.9689275710284115
KNeighborsClassifier_kd_tree,daal4py,fit,0.7783204071999762,0.01259988762353732,1000000,10,dc74b969bf622bc24ba3bc62c980983b,d373ebaaee0ed124a9f9104401902af8,kd_tree,-1,5,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.08156742379997013,0.01029181474410279,1000,10,dc74b969bf622bc24ba3bc62c980983b,5b265b90d4ef6401feb596ab26e057c7,kd_tree,-1,5,0.975,0.9750900360144057
KNeighborsClassifier_kd_tree,daal4py,predict,0.00022274400000696915,8.085304192644216e-05,1,10,dc74b969bf622bc24ba3bc62c980983b,cc39ba145f52fec2c50c2044787b4c72,kd_tree,-1,5,0.975,0.9750900360144057
KNeighborsClassifier_kd_tree,daal4py,fit,0.7442793432999906,0.01479893175196133,1000000,10,022f7445d43bb1dbc24dc3106c03cb93,d373ebaaee0ed124a9f9104401902af8,kd_tree,-1,100,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.25909665409999433,0.004477098880027949,1000,10,022f7445d43bb1dbc24dc3106c03cb93,5b265b90d4ef6401feb596ab26e057c7,kd_tree,-1,100,0.973,0.9730092036814726
KNeighborsClassifier_kd_tree,daal4py,predict,0.0004260769000666187,0.00011036834571199837,1,10,022f7445d43bb1dbc24dc3106c03cb93,cc39ba145f52fec2c50c2044787b4c72,kd_tree,-1,100,0.973,0.9730092036814726
KNeighborsClassifier_kd_tree,daal4py,fit,0.7763085970999555,0.014606922975216426,1000000,10,a9455565db1d8e052a783317c99744ff,d373ebaaee0ed124a9f9104401902af8,kd_tree,1,1,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.037994593199960035,0.000469667894267145,1000,10,a9455565db1d8e052a783317c99744ff,5b265b90d4ef6401feb596ab26e057c7,kd_tree,1,1,0.969,0.9689275710284115
KNeighborsClassifier_kd_tree,daal4py,predict,0.00017300089998570912,4.590901749503005e-05,1,10,a9455565db1d8e052a783317c99744ff,cc39ba145f52fec2c50c2044787b4c72,kd_tree,1,1,0.969,0.9689275710284115
KNeighborsClassifier_kd_tree,daal4py,fit,0.7598684020999826,0.005713160552444016,1000000,10,84622ba45e941db642965553529e1941,d373ebaaee0ed124a9f9104401902af8,kd_tree,1,5,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.07075873619992308,0.0007412247830423853,1000,10,84622ba45e941db642965553529e1941,5b265b90d4ef6401feb596ab26e057c7,kd_tree,1,5,0.975,0.9750900360144057
KNeighborsClassifier_kd_tree,daal4py,predict,0.00020778319997134532,6.809641641535744e-05,1,10,84622ba45e941db642965553529e1941,cc39ba145f52fec2c50c2044787b4c72,kd_tree,1,5,0.975,0.9750900360144057
KNeighborsClassifier_kd_tree,daal4py,fit,0.7596566025999664,0.009384858559247056,1000000,10,41accfcdcd5c50784bedf6164b63de99,d373ebaaee0ed124a9f9104401902af8,kd_tree,1,100,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.24668244220004,0.0023940449091997816,1000,10,41accfcdcd5c50784bedf6164b63de99,5b265b90d4ef6401feb596ab26e057c7,kd_tree,1,100,0.973,0.9730092036814726
KNeighborsClassifier_kd_tree,daal4py,predict,0.00044121639998593307,0.00010571248817865492,1,10,41accfcdcd5c50784bedf6164b63de99,cc39ba145f52fec2c50c2044787b4c72,kd_tree,1,100,0.973,0.9730092036814726
KNeighborsClassifier_kd_tree,daal4py,fit,0.5047612522000463,0.011616365851690338,1000000,2,fe8267e25dadb302ed498e50fabf7ef4,b123d1b4e4dd6c234920cc529518614f,kd_tree,-1,1,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.00074675200000911,0.0001284588094275257,1000,2,fe8267e25dadb302ed498e50fabf7ef4,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,-1,1,0.973,0.9730010093080633
KNeighborsClassifier_kd_tree,daal4py,predict,0.00011296640000182378,4.332522723106303e-05,1,2,fe8267e25dadb302ed498e50fabf7ef4,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,-1,1,0.973,0.9730010093080633
KNeighborsClassifier_kd_tree,daal4py,fit,0.5022507930999837,0.004503263764396453,1000000,2,dc74b969bf622bc24ba3bc62c980983b,b123d1b4e4dd6c234920cc529518614f,kd_tree,-1,5,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.0012875021000127163,0.0004142106170002506,1000,2,dc74b969bf622bc24ba3bc62c980983b,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,-1,5,0.976,0.9760409490699948
KNeighborsClassifier_kd_tree,daal4py,predict,0.00010716609997416527,4.324182478127495e-05,1,2,dc74b969bf622bc24ba3bc62c980983b,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,-1,5,0.976,0.9760409490699948
KNeighborsClassifier_kd_tree,daal4py,fit,0.5062215856999955,0.007746095119501977,1000000,2,022f7445d43bb1dbc24dc3106c03cb93,b123d1b4e4dd6c234920cc529518614f,kd_tree,-1,100,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.007519060700019509,0.001414159959587629,1000,2,022f7445d43bb1dbc24dc3106c03cb93,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,-1,100,0.98,0.980046139797177
KNeighborsClassifier_kd_tree,daal4py,predict,0.00011795709999660176,2.7168392152614755e-05,1,2,022f7445d43bb1dbc24dc3106c03cb93,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,-1,100,0.98,0.980046139797177
KNeighborsClassifier_kd_tree,daal4py,fit,0.49712101859997804,0.004686204409410766,1000000,2,a9455565db1d8e052a783317c99744ff,b123d1b4e4dd6c234920cc529518614f,kd_tree,1,1,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.000981230999991567,0.00026076949011851153,1000,2,a9455565db1d8e052a783317c99744ff,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,1,1,0.973,0.9730010093080633
KNeighborsClassifier_kd_tree,daal4py,predict,0.00010083419997499731,2.8167587897239455e-05,1,2,a9455565db1d8e052a783317c99744ff,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,1,1,0.973,0.9730010093080633
KNeighborsClassifier_kd_tree,daal4py,fit,0.5048351846999821,0.010859497300342741,1000000,2,84622ba45e941db642965553529e1941,b123d1b4e4dd6c234920cc529518614f,kd_tree,1,5,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.0010983037000187323,0.0001599689058567038,1000,2,84622ba45e941db642965553529e1941,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,1,5,0.976,0.9760409490699948
KNeighborsClassifier_kd_tree,daal4py,predict,0.00010835610003141482,4.091003953579831e-05,1,2,84622ba45e941db642965553529e1941,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,1,5,0.976,0.9760409490699948
KNeighborsClassifier_kd_tree,daal4py,fit,0.5205705668999598,0.022056165382209107,1000000,2,41accfcdcd5c50784bedf6164b63de99,b123d1b4e4dd6c234920cc529518614f,kd_tree,1,100,,
KNeighborsClassifier_kd_tree,daal4py,predict,0.008443721299977369,0.0018169580086663908,1000,2,41accfcdcd5c50784bedf6164b63de99,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,1,100,0.98,0.980046139797177
KNeighborsClassifier_kd_tree,daal4py,predict,0.00012766779998401033,4.8159359324628324e-05,1,2,41accfcdcd5c50784bedf6164b63de99,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,1,100,0.98,0.980046139797177
