estimator,lib,function,mean,stdev,n_samples,n_features,hyperparams_digest,dataset_digest,algorithm,n_jobs,n_neighbors,accuracy_score,roc_auc_score
KNeighborsClassifier,sklearn,fit,0.1468187746999945,0.006090583944883512,1000000,100,e70d8e7886766d41f30889506baa1e67,f792a5be572047653a970ae14d72c43c,brute,-1,1,,
KNeighborsClassifier,sklearn,predict,25.676192466499998,0.05507562049999137,1000,100,e70d8e7886766d41f30889506baa1e67,d78c808283c44fd8c479cfbd032dccee,brute,-1,1,0.743,0.7434173905034219
KNeighborsClassifier,sklearn,predict,0.18886742200000411,0.013350024700656202,1,100,e70d8e7886766d41f30889506baa1e67,f2bb6b488fc39b14f2f89a65339c1be5,brute,-1,1,0.743,0.7434173905034219
KNeighborsClassifier,sklearn,fit,0.15028179010000145,0.0022583481593512907,1000000,100,22d5eac4a4146149b35eae6914921514,f792a5be572047653a970ae14d72c43c,brute,-1,5,,
KNeighborsClassifier,sklearn,predict,35.06247015600002,0.0,1000,100,22d5eac4a4146149b35eae6914921514,d78c808283c44fd8c479cfbd032dccee,brute,-1,5,0.848,0.8484367929326302
KNeighborsClassifier,sklearn,predict,0.1764102196999886,0.006853781709061625,1,100,22d5eac4a4146149b35eae6914921514,f2bb6b488fc39b14f2f89a65339c1be5,brute,-1,5,0.848,0.8484367929326302
KNeighborsClassifier,sklearn,fit,0.14697377619999658,0.0033679843845235966,1000000,100,2d5f2b2c02d77766434d9e5033b4a76c,f792a5be572047653a970ae14d72c43c,brute,-1,100,,
KNeighborsClassifier,sklearn,predict,34.936430847,0.0,1000,100,2d5f2b2c02d77766434d9e5033b4a76c,d78c808283c44fd8c479cfbd032dccee,brute,-1,100,0.937,0.9379823075475249
KNeighborsClassifier,sklearn,predict,0.18464076499999466,0.013151780785841546,1,100,2d5f2b2c02d77766434d9e5033b4a76c,f2bb6b488fc39b14f2f89a65339c1be5,brute,-1,100,0.937,0.9379823075475249
KNeighborsClassifier,sklearn,fit,0.14718042640000703,0.0027581954219811577,1000000,100,b79d63bb7670c492de5c3befac58fe29,f792a5be572047653a970ae14d72c43c,brute,1,1,,
KNeighborsClassifier,sklearn,predict,13.39829515633331,0.01712836107876031,1000,100,b79d63bb7670c492de5c3befac58fe29,d78c808283c44fd8c479cfbd032dccee,brute,1,1,0.743,0.7434173905034219
KNeighborsClassifier,sklearn,predict,0.19273913790001415,0.004105284697648456,1,100,b79d63bb7670c492de5c3befac58fe29,f2bb6b488fc39b14f2f89a65339c1be5,brute,1,1,0.743,0.7434173905034219
KNeighborsClassifier,sklearn,fit,0.14382031280000546,0.0009118727470793416,1000000,100,efac583623711d395ddae7a1e881ff68,f792a5be572047653a970ae14d72c43c,brute,1,5,,
KNeighborsClassifier,sklearn,predict,22.703070335999996,0.014341435999995156,1000,100,efac583623711d395ddae7a1e881ff68,d78c808283c44fd8c479cfbd032dccee,brute,1,5,0.848,0.8484367929326302
KNeighborsClassifier,sklearn,predict,0.1984365617000094,0.0015999603956419724,1,100,efac583623711d395ddae7a1e881ff68,f2bb6b488fc39b14f2f89a65339c1be5,brute,1,5,0.848,0.8484367929326302
KNeighborsClassifier,sklearn,fit,0.1433028480999951,0.0009800410355287985,1000000,100,16f94fc93942ff7ece860c9b0f64645f,f792a5be572047653a970ae14d72c43c,brute,1,100,,
KNeighborsClassifier,sklearn,predict,22.74061679050004,0.06428940050005849,1000,100,16f94fc93942ff7ece860c9b0f64645f,d78c808283c44fd8c479cfbd032dccee,brute,1,100,0.937,0.9379823075475249
KNeighborsClassifier,sklearn,predict,0.19777916339998,0.0014947812367732346,1,100,16f94fc93942ff7ece860c9b0f64645f,f2bb6b488fc39b14f2f89a65339c1be5,brute,1,100,0.937,0.9379823075475249
KNeighborsClassifier,sklearn,fit,0.06150892170001043,0.000797601514876694,1000000,2,e70d8e7886766d41f30889506baa1e67,b123d1b4e4dd6c234920cc529518614f,brute,-1,1,,
KNeighborsClassifier,sklearn,predict,22.12908413200006,0.09214848300001677,1000,2,e70d8e7886766d41f30889506baa1e67,ebe3c5ddf180ac6a272cdd05c473421f,brute,-1,1,0.975,0.9749123873837833
KNeighborsClassifier,sklearn,predict,0.020862707300000238,0.00160685893699721,1,2,e70d8e7886766d41f30889506baa1e67,ad6352385cc5e69d5c24fad28c7fd226,brute,-1,1,0.975,0.9749123873837833
