estimator,lib,function,mean,stdev,n_samples,n_features,hyperparams_digest,dataset_digest,algorithm,n_jobs,n_neighbors,accuracy_score,roc_auc_score
KNeighborsClassifier_kd_tree,sklearn,fit,3.0828642409999247,0.035834831212994245,1000000,10,fe8267e25dadb302ed498e50fabf7ef4,d373ebaaee0ed124a9f9104401902af8,kd_tree,-1,1,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.17796103880009467,0.0022705724270115596,1000,10,fe8267e25dadb302ed498e50fabf7ef4,5b265b90d4ef6401feb596ab26e057c7,kd_tree,-1,1,0.966,0.9657922502015879
KNeighborsClassifier_kd_tree,sklearn,predict,0.0029193246999966505,0.0003646699658585185,1,10,fe8267e25dadb302ed498e50fabf7ef4,cc39ba145f52fec2c50c2044787b4c72,kd_tree,-1,1,0.966,0.9657922502015879
KNeighborsClassifier_kd_tree,sklearn,fit,3.076414940699965,0.03037508366279254,1000000,10,dc74b969bf622bc24ba3bc62c980983b,d373ebaaee0ed124a9f9104401902af8,kd_tree,-1,5,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.2959104645000252,0.005520393244639268,1000,10,dc74b969bf622bc24ba3bc62c980983b,5b265b90d4ef6401feb596ab26e057c7,kd_tree,-1,5,0.984,0.984386470949288
KNeighborsClassifier_kd_tree,sklearn,predict,0.0036222190999978922,0.0004596293326034286,1,10,dc74b969bf622bc24ba3bc62c980983b,cc39ba145f52fec2c50c2044787b4c72,kd_tree,-1,5,0.984,0.984386470949288
KNeighborsClassifier_kd_tree,sklearn,fit,3.0858388519999607,0.03584257554613422,1000000,10,022f7445d43bb1dbc24dc3106c03cb93,d373ebaaee0ed124a9f9104401902af8,kd_tree,-1,100,,
KNeighborsClassifier_kd_tree,sklearn,predict,1.077843599799985,0.01116387430309685,1000,10,022f7445d43bb1dbc24dc3106c03cb93,5b265b90d4ef6401feb596ab26e057c7,kd_tree,-1,100,0.984,0.9842781551002723
KNeighborsClassifier_kd_tree,sklearn,predict,0.00546299539996653,0.0014919584532613875,1,10,022f7445d43bb1dbc24dc3106c03cb93,cc39ba145f52fec2c50c2044787b4c72,kd_tree,-1,100,0.984,0.9842781551002723
KNeighborsClassifier_kd_tree,sklearn,fit,3.0887003812999865,0.027046986601624832,1000000,10,a9455565db1d8e052a783317c99744ff,d373ebaaee0ed124a9f9104401902af8,kd_tree,1,1,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.2645780369999784,0.0024825982054136313,1000,10,a9455565db1d8e052a783317c99744ff,5b265b90d4ef6401feb596ab26e057c7,kd_tree,1,1,0.966,0.9657922502015879
KNeighborsClassifier_kd_tree,sklearn,predict,0.001223937100007788,0.0001423744432500336,1,10,a9455565db1d8e052a783317c99744ff,cc39ba145f52fec2c50c2044787b4c72,kd_tree,1,1,0.966,0.9657922502015879
KNeighborsClassifier_kd_tree,sklearn,fit,3.0750399115999927,0.030423854402034312,1000000,10,84622ba45e941db642965553529e1941,d373ebaaee0ed124a9f9104401902af8,kd_tree,1,5,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.5055082141999719,0.007093449230314937,1000,10,84622ba45e941db642965553529e1941,5b265b90d4ef6401feb596ab26e057c7,kd_tree,1,5,0.984,0.984386470949288
KNeighborsClassifier_kd_tree,sklearn,predict,0.0015675188999921374,0.00020423884570955605,1,10,84622ba45e941db642965553529e1941,cc39ba145f52fec2c50c2044787b4c72,kd_tree,1,5,0.984,0.984386470949288
KNeighborsClassifier_kd_tree,sklearn,fit,3.0768998094999915,0.025328472666939043,1000000,10,41accfcdcd5c50784bedf6164b63de99,d373ebaaee0ed124a9f9104401902af8,kd_tree,1,100,,
KNeighborsClassifier_kd_tree,sklearn,predict,1.7762177616000372,0.012719872695066862,1000,10,41accfcdcd5c50784bedf6164b63de99,5b265b90d4ef6401feb596ab26e057c7,kd_tree,1,100,0.984,0.9842781551002723
KNeighborsClassifier_kd_tree,sklearn,predict,0.0030298712999638155,0.000599900028834816,1,10,41accfcdcd5c50784bedf6164b63de99,cc39ba145f52fec2c50c2044787b4c72,kd_tree,1,100,0.984,0.9842781551002723
KNeighborsClassifier_kd_tree,sklearn,fit,1.2667360044000588,0.010332424422895918,1000000,2,fe8267e25dadb302ed498e50fabf7ef4,b123d1b4e4dd6c234920cc529518614f,kd_tree,-1,1,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.030361647100016854,0.0013623839808477253,1000,2,fe8267e25dadb302ed498e50fabf7ef4,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,-1,1,0.984,0.9838942307692307
KNeighborsClassifier_kd_tree,sklearn,predict,0.0022585416000310944,0.0001470941144599753,1,2,fe8267e25dadb302ed498e50fabf7ef4,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,-1,1,0.984,0.9838942307692307
KNeighborsClassifier_kd_tree,sklearn,fit,1.2672759947999566,0.016500609348429778,1000000,2,dc74b969bf622bc24ba3bc62c980983b,b123d1b4e4dd6c234920cc529518614f,kd_tree,-1,5,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.033892669800002294,0.00843705401441666,1000,2,dc74b969bf622bc24ba3bc62c980983b,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,-1,5,0.985,0.9850160256410256
KNeighborsClassifier_kd_tree,sklearn,predict,0.0022864643000730213,0.0005366371014151306,1,2,dc74b969bf622bc24ba3bc62c980983b,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,-1,5,0.985,0.9850160256410256
KNeighborsClassifier_kd_tree,sklearn,fit,1.3034713645000011,0.010226655951293216,1000000,2,022f7445d43bb1dbc24dc3106c03cb93,b123d1b4e4dd6c234920cc529518614f,kd_tree,-1,100,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.05459618720001345,0.0025711254567406592,1000,2,022f7445d43bb1dbc24dc3106c03cb93,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,-1,100,0.991,0.9910256410256411
KNeighborsClassifier_kd_tree,sklearn,predict,0.0024784464000276786,0.00035056766532483866,1,2,022f7445d43bb1dbc24dc3106c03cb93,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,-1,100,0.991,0.9910256410256411
KNeighborsClassifier_kd_tree,sklearn,fit,1.3028222539999887,0.011876424288897095,1000000,2,a9455565db1d8e052a783317c99744ff,b123d1b4e4dd6c234920cc529518614f,kd_tree,1,1,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.026580909000017527,0.0005340573717251826,1000,2,a9455565db1d8e052a783317c99744ff,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,1,1,0.984,0.9838942307692307
KNeighborsClassifier_kd_tree,sklearn,predict,0.0006390102000068509,3.780110337955866e-05,1,2,a9455565db1d8e052a783317c99744ff,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,1,1,0.984,0.9838942307692307
KNeighborsClassifier_kd_tree,sklearn,fit,1.3035475686999463,0.011097819238547626,1000000,2,84622ba45e941db642965553529e1941,b123d1b4e4dd6c234920cc529518614f,kd_tree,1,5,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.029278297000018938,0.0006302915907027689,1000,2,84622ba45e941db642965553529e1941,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,1,5,0.985,0.9850160256410256
KNeighborsClassifier_kd_tree,sklearn,predict,0.0006093172999953822,7.578536673236359e-05,1,2,84622ba45e941db642965553529e1941,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,1,5,0.985,0.9850160256410256
KNeighborsClassifier_kd_tree,sklearn,fit,1.289955535299987,0.010345384733496343,1000000,2,41accfcdcd5c50784bedf6164b63de99,b123d1b4e4dd6c234920cc529518614f,kd_tree,1,100,,
KNeighborsClassifier_kd_tree,sklearn,predict,0.05867356179999206,0.0009563874052882611,1000,2,41accfcdcd5c50784bedf6164b63de99,ebe3c5ddf180ac6a272cdd05c473421f,kd_tree,1,100,0.991,0.9910256410256411
KNeighborsClassifier_kd_tree,sklearn,predict,0.0006786828999565842,6.152231859966004e-05,1,2,41accfcdcd5c50784bedf6164b63de99,ad6352385cc5e69d5c24fad28c7fd226,kd_tree,1,100,0.991,0.9910256410256411
