algo,hour,min,sec
KNeighborsClassifier,0.0,13.0,40.30247219799992
daal4py_KNeighborsClassifier,0.0,5.0,16.969539724000015
KNeighborsClassifier_kd_tree,0.0,6.0,39.341896317999954
daal4py_KNeighborsClassifier_kd_tree,0.0,1.0,50.06925847299976
KMeans_tall,0.0,1.0,47.681629408999925
daal4py_KMeans_tall,0.0,1.0,18.70351087300014
KMeans_short,0.0,0.0,25.81514446300025
daal4py_KMeans_short,0.0,0.0,12.654353227000229
LogisticRegression,0.0,1.0,7.733477489999586
daal4py_LogisticRegression,0.0,1.0,1.2480756429999929
Ridge,0.0,0.0,1.0954129640003885
daal4py_Ridge,0.0,0.0,0.8306325519997699
total,0.0,33.0,22.534775714999796
